страна;рождаемость;смертн;деск_см;длит_муж;длит_жен;доход;регион
Albania;24.7;5.7;30.8;69.6;75.5;600;1
Bulgaria;12.5;11.9;14.4;68.3;74.7;2250;1
Czechoslovakia;13.4;11.7;11.3;71.8;77.7;2980;1
Former_E._Germany;12.0;12.4;7.6;69.8;75.9;-9999;1
Hungary;11.6;13.4;14.8;65.4;73.8;2780;1
Poland;14.3;10.2;16.0;67.2;75.7;1690;1
Romania;13.6;10.7;26.9;66.5;72.4;1640;1
Yugoslavia;14.0;9.0;20.2;68.6;74.5;-9999;1
USSR;17.7;10.0;23.0;64.6;74.0;2242;1
Byelorussian_SSR;15.2;9.5;13.1;66.4;75.9;1880;1
Ukrainian_SSR;13.4;11.6;13.0;66.4;74.8;1320;1
Argentina;20.7;8.4;25.7;65.5;72.7;2370;2
Bolivia;46.6;18.0;111.0;51.0;55.4;630;2
Brazil;28.6;7.9;63.0;62.3;67.6;2680;2
Chile;23.4;5.8;17.1;68.1;75.1;1940;2
Columbia;27.4;6.1;40.0;63.4;69.2;1260;2
Ecuador;32.9;7.4;63.0;63.4;67.6;980;2
Guyana;28.3;7.3;56.0;60.4;66.1;330;2
Paraguay;34.8;6.6;42.0;64.4;68.5;1110;2
Peru;32.9;8.3;109.9;56.8;66.5;1160;2
Uruguay;18.0;9.6;21.9;68.4;74.9;2560;2
Venezuela;27.5;4.4;23.3;66.7;72.8;2560;2
Mexico;29.0;23.2;43.0;62.1;66.0;2490;2
Belgium;12.0;10.6;7.9;70.0;76.8;15540;3
Finland;13.2;10.1;5.8;70.7;78.7;26040;3
Denmark;12.4;11.9;7.5;71.8;77.7;22080;3
France;13.6;9.4;7.4;72.3;80.5;19490;3
Germany;11.4;11.2;7.4;71.8;78.4;22320;3
Greece;10.1;9.2;11.0;65.4;74.0;5990;3
Ireland;15.1;9.1;7.5;71.0;76.7;9550;3
Italy;9.7;9.1;8.8;72.0;78.6;16830;3
Netherlands;13.2;8.6;7.1;73.3;79.9;17320;3
Norway;14.3;10.7;7.8;67.2;75.7;23120;3
Portugal;11.9;9.5;13.1;66.5;72.4;7600;3
Spain;10.7;8.2;8.1;72.5;78.6;11020;3
Sweden;14.5;11.1;5.6;74.2;80.0;23660;3
Switzerland;12.5;9.5;7.1;73.9;80.0;34064;3
U.K.;13.6;11.5;8.4;72.2;77.9;16100;3
Austria;14.9;7.4;8.0;73.3;79.6;17000;3
Japan;9.9;6.7;4.5;75.9;81.8;25430;3
Canada;14.5;7.3;7.2;73.0;79.8;20470;3
U.S.A.;16.7;8.1;9.1;71.5;78.3;21790;3
Afghanistan;40.4;18.7;181.6;41.0;42.0;168;5
Bahrain;28.4;3.8;16.0;66.8;69.4;6340;4
Iran;42.5;11.5;108.1;55.8;55.0;2490;4
Iraq;42.6;7.8;69.0;63.0;64.8;3020;4
Israel;22.3;6.3;9.7;73.9;77.4;10920;4
Jordan;38.9;6.4;44.0;64.2;67.8;1240;4
Kuwait;26.8;2.2;15.6;71.2;75.4;16150;4
Lebanon;31.7;8.7;48.0;63.1;67.0;-9999;4
Oman;45.6;7.8;40.0;62.2;65.8;5220;4
Saudi_Arabia;42.1;7.6;71.0;61.7;65.2;7050;4
Turkey;29.2;8.4;76.0;62.5;65.8;1630;4
United_Arab_Emirates;22.8;3.8;26.0;68.6;72.9;19860;4
Bangladesh;42.2;15.5;119.0;56.9;56.0;210;5
Cambodia;41.4;16.6;130.0;47.0;49.9;-9999;5
China;21.2;6.7;32.0;68.0;70.9;380;5
Hong_Kong;11.7;4.9;6.1;74.3;80.1;14210;5
India;30.5;10.2;91.0;52.5;52.1;350;5
Indonesia;28.6;9.4;75.0;58.5;62.0;570;5
Korea;23.5;18.1;25.0;66.2;72.7;-9999;5
Malaysia;31.6;5.6;24.0;67.5;71.6;2320;5
Mongolia;36.1;8.8;68.0;60.0;62.5;110;5
Nepal;39.6;14.8;128.0;50.9;48.1;170;5
Pakistan;30.3;8.1;107.7;59.0;59.2;380;5
Philippines;33.2;7.7;45.0;62.5;66.1;730;5
Singapore;17.8;5.2;7.5;68.7;74.0;11160;5
Sri_Lanka;21.3;6.2;19.4;67.8;71.7;470;5
Thailand;22.3;7.7;28.0;63.8;68.9;1420;5
Vietnam;31.8;9.5;64.0;63.7;67.9;-9999;5
Algeria;35.5;8.3;74.0;61.6;63.3;2060;6
Angola;47.2;20.2;137.0;42.9;46.1;610;6
Botswana;48.5;11.6;67.0;52.3;59.7;2040;6
Congo;46.1;14.6;73.0;50.1;55.3;1010;6
Egypt;38.8;9.5;49.4;57.8;60.3;600;6
Ethiopia;48.6;20.7;137.0;42.4;45.6;120;6
Gabon;39.4;16.8;103.0;49.9;53.2;390;6
Gambia;47.4;21.4;143.0;41.4;44.6;260;6
Ghana;44.4;13.1;90.0;52.2;55.8;390;6
Kenya;47.0;11.3;72.0;56.5;60.5;370;6
Libya;44.0;9.4;82.0;59.1;62.6;5310;6
Malawi;48.3;25.0;130.0;38.1;41.2;200;6
Morocco;35.5;9.8;82.0;59.1;62.5;960;6
Mozambique;45.0;18.5;141.0;44.9;48.1;80;6
Namibia;44.0;12.1;135.0;55.0;57.5;1030;6
Nigeria;48.5;15.6;105.0;48.8;52.2;360;6
Sierra_Leone;48.2;23.4;154.0;39.4;42.6;240;6
Somalia;50.1;20.2;132.0;43.4;46.6;120;6
South_Africa;32.1;9.9;72.0;57.5;63.5;2530;6
Sudan;44.6;15.8;108.0;48.6;51.0;480;6
Swaziland;46.8;12.5;118.0;42.9;49.5;810;6
Tunisia;31.1;7.3;52.0;64.9;66.4;1440;6
Uganda;52.2;15.6;103.0;49.9;52.7;220;6
Tanzania;50.5;14.0;106.0;51.3;54.7;110;6
Zaire;45.6;14.2;83.0;50.3;53.7;220;6
Zambia;51.1;13.7;80.0;50.4;52.5;420;6
Zimbabwe;41.7;10.3;66.0;56.5;60.1;640;6
